,season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility,positionType
101,2022,Josh,Moore,S,UCLA,Florida Atlantic,2022-02-24T21:44:00.000Z,,3.0,Immediate,Defense
102,2022,Gaberiel,Fuster,LB,Liberty,,2021-10-14T19:04:00.000Z,,3.0,Immediate,Defense
103,2022,Deron,Harrell,CB,Wisconsin,,2021-11-16T18:55:00.000Z,0.8,3.0,Immediate,Defense
104,2022,Daniel,Carson,DL,Georgia Tech,Georgia Tech,2022-06-11T10:32:00.000Z,,3.0,Immediate,Defense
105,2022,Andre,Seldon,CB,Michigan,New Mexico State,2022-01-06T15:05:00.000Z,0.87,3.0,Immediate,Defense
106,2022,Ricky,Pearsall,WR,Arizona State,Florida,2022-04-21T17:27:00.000Z,0.89,3.0,Immediate,Offense
107,2022,Kendall,Smith,S,Illinois,,2021-11-29T10:28:00.000Z,,3.0,Immediate,Defense
108,2022,James,Hansen,DL,Utah State,,2022-04-27T19:03:00.000Z,,2.0,Immediate,Defense
109,2022,Wesley,Walker,S,Georgia Tech,Tennessee,2022-02-21T17:56:00.000Z,0.87,3.0,Immediate,Defense
110,2022,Jarek,Broussard,RB,Colorado,Michigan State,2022-01-13T20:23:00.000Z,0.89,3.0,Immediate,Offense
111,2022,Thomas,Shelmire,IOL,SMU,,2022-05-20T19:46:00.000Z,,3.0,Immediate,Offense
112,2022,Marcel,Murray,RB,Arkansas State,Arkansas State,2021-11-16T18:01:00.000Z,0.83,3.0,Immediate,Offense
113,2022,Chance,Bates,LB,Kennesaw State,East Carolina,2022-05-01T15:41:00.000Z,,,Immediate,Defense
114,2022,Christopher,Thomas,DL,Florida,,2022-06-28T14:29:00.000Z,0.86,3.0,Immediate,Defense
115,2022,Fortune,Woods,LB,Bowling Green,,2022-01-12T00:18:00.000Z,,2.0,Immediate,Defense
116,2022,DeJuan,Ellis,WR,Maryland,Rhode Island,2022-01-06T22:35:00.000Z,,3.0,Immediate,Offense
117,2022,Grayson,Cook,LB,Air Force,,2021-09-07T16:40:00.000Z,,,Immediate,Defense
118,2022,Larry,Robbins,CB,Buffalo,,2021-10-21T17:36:00.000Z,,2.0,Immediate,Defense
119,2022,Tim,Baldwin Jr.,RB,Indiana,UMass,2021-10-04T14:09:00.000Z,0.79,2.0,Immediate,Offense
120,2022,Ronnie,Stevenson,WR,Temple,,2022-05-01T15:24:00.000Z,,3.0,Immediate,Offense
121,2022,Tyree,Saunders,WR,East Carolina,,2022-04-22T15:14:00.000Z,,3.0,Immediate,Offense
122,2022,Nicholas,Sheetz,EDGE,Washington State,,2022-02-18T15:37:00.000Z,,3.0,Immediate,Defense
123,2022,Charlie,Jones,WR,Iowa,Purdue,2022-05-25T18:20:00.000Z,,2.0,Immediate,Offense
124,2022,Cole,Harrity,WR,New Mexico State,Buffalo,2022-04-18T19:11:00.000Z,,2.0,Immediate,Offense
125,2022,Hunter,Kaupiko,LB,San Diego State,,2021-08-12T13:37:00.000Z,0.79,2.0,Immediate,Defense
126,2022,Lamin,Touray,LB,Nevada,,2021-12-08T21:50:00.000Z,,3.0,Immediate,Defense
127,2022,Daryl,Porter,CB,West Virginia,Miami,2022-02-17T02:40:00.000Z,0.89,3.0,Immediate,Defense
128,2022,Camden,Price,K,Miami,Temple,2022-01-06T23:57:00.000Z,,,Immediate,K
129,2022,Marcus,Hooker,S,Ohio State,Youngstown State,2022-04-26T18:39:00.000Z,,3.0,Immediate,Defense
130,2022,Andrew,Parker,LB,Arkansas,Appalachian State,2022-01-20T20:44:00.000Z,,3.0,Immediate,Defense
131,2022,Elijah,Eberhardt,CB,Bowling Green,,2022-04-27T13:51:00.000Z,,3.0,Immediate,Defense
132,2022,Evan,Lovell,OT,Rhode Island,Texas State,2021-12-02T17:58:00.000Z,0.83,3.0,Immediate,Offense
133,2022,David,Abiara,SDE,Texas,SMU,2022-04-29T20:35:00.000Z,0.86,3.0,Immediate,Defense
134,2022,AJ,Beatty,IOL,North Carolina,Albany,2021-08-09T19:37:00.000Z,,3.0,Immediate,Offense
135,2022,Dillon,Harris,LB,Connecticut,,2021-09-16T13:31:00.000Z,,3.0,Immediate,Defense
136,2022,Devin,Taylor,CB,Virginia Tech,Bowling Green,2021-08-19T15:09:00.000Z,,,Immediate,Defense
137,2022,Donavann,Collins,CB,TCU,,2021-12-14T20:29:00.000Z,0.85,3.0,Immediate,Defense
138,2022,Iverson,Clement,RB,Temple,Temple,2021-10-13T13:24:00.000Z,0.79,2.0,Immediate,Offense
139,2022,Eric,Randall,S,Memphis,,2022-03-24T16:33:00.000Z,,3.0,Immediate,Defense
140,2022,Caden,Clark,TE,Alabama,Akron,2022-04-07T19:35:00.000Z,,3.0,Immediate,Offense
141,2022,Jaylen,Rivers,ATH,Northwestern,,2021-11-29T18:32:00.000Z,0.8,3.0,Immediate,ATH
142,2022,Andre,Turrentine,CB,Ohio State,Tennessee,2022-04-25T15:48:00.000Z,0.87,3.0,Immediate,Defense
143,2022,Izaiah,Kelley,OLB,SMU,Abilene Christian,2022-06-16T03:16:00.000Z,,3.0,Immediate,Defense
144,2022,Robert,Ferrel,WR,Incarnate Word,Washington State,2022-03-18T05:00:00.000Z,,,Immediate,Offense
145,2022,Bucky,Williams,IOL,Appalachian State,Appalachian State,2022-03-28T15:27:00.000Z,,,Immediate,Offense
146,2022,Sean,Ryan,WR,West Virginia,Rutgers,2022-01-07T16:47:00.000Z,0.85,3.0,Immediate,Offense
147,2022,Javian,Hester,WR,Missouri,Oklahoma,2022-04-28T16:45:00.000Z,0.88,3.0,Immediate,Offense
148,2022,Trent,Davis,RB,Duke,,2022-04-27T19:58:00.000Z,,3.0,Immediate,Offense
149,2022,Kingsley,Suamataia,OT,Oregon,BYU,2021-10-26T23:56:00.000Z,0.96,4.0,Immediate,Offense
150,2022,Chase,Kline,LB,Michigan State,Eastern Michigan,2021-09-26T17:52:00.000Z,0.81,3.0,Immediate,Defense
151,2022,Lloyd,Summerall,EDGE,Florida,Florida,2021-12-02T13:10:00.000Z,0.84,3.0,Immediate,Defense
152,2022,Nicholas,Edwards,OT,Tennessee,UT Martin,2022-05-02T13:15:00.000Z,,,Immediate,Offense
153,2022,Reid,Pulliam,LB,Virginia Tech,Holmes C.C.,2022-06-07T18:10:00.000Z,,3.0,Immediate,Defense
154,2022,Koby,Gross,TE,Florida State,,2022-04-19T17:21:00.000Z,,3.0,Immediate,Offense
155,2022,Aric,Horne,LB,Iowa State,Florida A&M,2021-12-13T22:13:00.000Z,,3.0,Immediate,Defense
156,2022,Damarius,Good,RB,UCF,,2022-01-19T17:17:00.000Z,,3.0,Immediate,Offense
157,2022,JaKorey,Hawkins,CB,Ole Miss,Wyoming,2021-12-20T20:53:00.000Z,0.82,3.0,Immediate,Defense
158,2022,Chauncey,Moore,S,Temple,Alabama State,2022-04-18T19:24:00.000Z,,3.0,Immediate,Defense
159,2022,Ahman,Ross,S,Florida Atlantic,,2022-05-16T21:31:00.000Z,,3.0,Immediate,Defense
160,2022,Davis,Beville,QB,Pittsburgh,Oklahoma,2022-03-24T19:17:00.000Z,0.85,3.0,Immediate,Offense
161,2022,Tyrone,Brown,LB,Baylor,,2021-09-07T13:46:00.000Z,,3.0,Immediate,Defense
162,2022,Carlin,Fils-aime,RB,Tennessee,,2021-09-24T18:00:00.000Z,,4.0,Immediate,Offense
163,2022,AJ,Watts,CB,Akron,,2022-01-19T16:57:00.000Z,,2.0,Immediate,Defense
164,2022,Tyler,Page,WR,SMU,Appalachian State,2022-05-02T19:30:00.000Z,,3.0,Immediate,Offense
165,2022,Micah,Mariteragi,OT,Virginia,,2021-12-27T14:43:00.000Z,,3.0,Immediate,Offense
166,2022,Corey,Rucker,WR,Arkansas State,South Carolina,2022-03-07T22:51:00.000Z,0.88,3.0,Immediate,Offense
167,2022,Darrius,Smith,RB,Arizona,,2021-12-07T20:54:00.000Z,,3.0,Immediate,Offense
168,2022,Ke'Andre,Street,WR,Houston,,2022-04-04T13:24:00.000Z,,3.0,Immediate,Offense
169,2022,Jared,Wilson,RB,South Alabama,,2022-04-28T17:50:00.000Z,,3.0,Immediate,Offense
170,2022,Dennis,Osagiede,DL,Stephen F. Austin,Liberty,2022-04-29T05:00:00.000Z,,3.0,Immediate,Defense
171,2022,Jordon,Riley,DL,Nebraska,Oregon,2022-01-29T03:34:00.000Z,0.86,3.0,Immediate,Defense
172,2022,Grant,Gunnell,QB,Memphis,North Texas,2022-04-30T00:31:00.000Z,,3.0,Immediate,Offense
173,2022,Shai,Kochav,LS,Arkansas State,Louisville,2022-05-23T15:36:00.000Z,,,Immediate,LS
174,2022,Kyren,Lacy,WR,Louisiana,LSU,2022-01-14T14:40:00.000Z,0.89,3.0,Immediate,Offense
175,2022,Kyle,Dobbins,RB,Temple,Western Illinois,2022-04-22T15:46:00.000Z,,3.0,Immediate,Offense
176,2022,Demetrius,Cannon,WR,Louisville,,2022-01-04T21:21:00.000Z,0.85,3.0,Immediate,Offense
177,2022,Darrian,Felix,RB,South Florida,,2022-01-31T18:14:00.000Z,,3.0,Immediate,Offense
178,2022,Ethan,Rinke,DL,South Alabama,,2022-01-15T00:57:00.000Z,,3.0,Immediate,Defense
179,2022,Justin,Isler,EDGE,Appalachian State,,2022-04-18T17:04:00.000Z,,3.0,Immediate,Defense
180,2022,Edward,Bautista,LB,North Texas,,2022-01-21T20:53:00.000Z,,2.0,Immediate,Defense
181,2022,Clyde,Pinder Jr.,DL,North Carolina,South Florida,2021-10-21T15:58:00.000Z,0.82,3.0,Immediate,Defense
182,2022,Justin,Harris,CB,Georgia Southern,,2021-09-23T21:20:00.000Z,,3.0,Immediate,Defense
183,2022,Nasir,Clerk,CB,East Carolina,,2021-09-29T13:58:00.000Z,0.8,3.0,Immediate,Defense
184,2022,Wesley,McCormick,CB,James Madison,West Virginia,2022-05-20T05:00:00.000Z,,,Immediate,Defense
185,2022,Lonnie,Phelps,EDGE,Miami (OH),Kansas,2021-12-23T22:28:00.000Z,0.88,3.0,Immediate,Defense
186,2022,RJ,Adams,IOL,Kentucky,Georgia Tech,2022-04-19T16:24:00.000Z,,3.0,Immediate,Offense
187,2022,Quavaris,Crouch,LB,Michigan State,,2022-04-29T13:47:00.000Z,,4.0,Immediate,Defense
188,2022,Carson,Lee,IOL,Colorado,,2022-04-08T22:18:00.000Z,,3.0,Immediate,Offense
189,2022,Kyler,Baugh,DL,Houston Christian,Minnesota,2022-04-18T15:19:00.000Z,,,Immediate,Defense
190,2022,Donte,Small,CB,Appalachian State,,2022-01-11T18:07:00.000Z,,,Immediate,Defense
191,2022,J'Vian,McCray,DL,East Carolina,Austin Peay,2022-04-12T19:49:00.000Z,,3.0,Immediate,Defense
192,2022,Hayden,Hagler,TE,Marshall,,2022-06-16T14:38:00.000Z,,2.0,Immediate,Offense
193,2022,Logan,Sagapolu,IOL,Oregon,Miami,2022-01-18T06:00:00.000Z,0.85,3.0,Immediate,Offense
194,2022,James,Thomas,LB,West Virginia,,2021-10-06T17:36:00.000Z,,3.0,Immediate,Defense
195,2022,Zeb,Noland,QB,North Dakota State,South Carolina,2021-08-17T13:54:00.000Z,,3.0,Immediate,Offense
196,2022,Taron,Madison,RB,Oregon State,,2021-09-08T17:05:00.000Z,,3.0,Immediate,Offense
197,2022,Deonte,Sheffield,RB,Florida State,West Florida,2021-09-28T19:42:00.000Z,,3.0,Immediate,Offense
198,2022,Jeremiah,Payton,WR,Miami,,2021-09-24T15:42:00.000Z,0.81,3.0,Immediate,Offense
199,2022,Loyal,Crawford,RB,Wisconsin,,2021-09-23T16:11:00.000Z,0.81,3.0,Immediate,Offense
200,2022,Tenyeh,Dixon,CB,Virginia,Elizabeth City State,2021-10-25T22:08:00.000Z,0.79,2.0,Immediate,Defense
201,2022,Jason,Whittaker,TE,Northwestern,,2021-11-22T19:38:00.000Z,0.79,2.0,Immediate,Offense
202,2022,Joe,Sparacio,LB,Boston College,Eastern Michigan,2021-12-15T14:11:00.000Z,0.81,3.0,Immediate,Defense
203,2022,Willie,Reid,S,Central Michigan,,2021-10-27T17:33:00.000Z,0.83,3.0,Immediate,Defense
204,2022,Cameron,Williams,EDGE,Miami,,2022-04-29T14:17:00.000Z,,3.0,Immediate,Defense
205,2022,Pedro,Timoteo,OT,Fresno State,Portland State,2022-05-04T15:39:00.000Z,,,Immediate,Offense
206,2022,Parker,Rickert,WR,Iowa State,,2022-04-26T20:30:00.000Z,,2.0,Immediate,Offense
207,2022,Kani,Walker,CB,Louisville,Oklahoma,2022-01-10T19:09:00.000Z,0.86,3.0,Immediate,Defense
208,2022,Christian,Malloy,RB,Coastal Carolina,,2022-01-24T21:14:00.000Z,,3.0,Immediate,Offense
209,2022,Greg,Grate Jr,ATH,Middle Tennessee,,2022-02-07T16:24:00.000Z,0.82,3.0,Immediate,ATH
210,2022,Kyjuan,Herndon,ATH,Colorado State,Colorado State,2021-12-14T16:56:00.000Z,,3.0,Immediate,ATH
211,2022,Jack,Zergiotis,QB,Connecticut,Merrimack,2021-11-29T15:59:00.000Z,0.8,3.0,Immediate,Offense
212,2022,Ethan,Bullock,QB,Oklahoma State,,2022-04-06T13:38:00.000Z,,3.0,Immediate,Offense
213,2022,Daran,Branch,S,Georgia,,2022-04-02T13:18:00.000Z,,3.0,Immediate,Defense
214,2022,Jaylon,Robinson,WR,UCF,Ole Miss,2022-04-21T17:28:00.000Z,0.9,4.0,Immediate,Offense
215,2022,Ja'Varrius,Johnson,WR,Auburn,Auburn,2022-02-02T20:53:00.000Z,0.87,3.0,Immediate,Offense
216,2022,DeAmonte,King,ATH,Toledo,,2021-12-21T20:23:00.000Z,,3.0,Immediate,ATH
217,2022,Brandon,Campbell,RB,USC,Houston,2022-03-15T13:49:00.000Z,0.89,3.0,Immediate,Offense
218,2022,Liridon,Mujezinovic,OT,Maryland,,2022-05-01T14:07:00.000Z,,3.0,Immediate,Offense
219,2022,Vidal,Scott,DL,Arkansas State,,2022-04-01T19:25:00.000Z,,3.0,Immediate,Defense
220,2022,Cole,Spencer,OT,Western Kentucky,Texas Tech,2022-02-14T21:58:00.000Z,0.91,4.0,Immediate,Offense
221,2022,Eric,Gentry,LB,Arizona State,USC,2022-04-21T15:27:00.000Z,0.93,4.0,Immediate,Defense
222,2022,TQ,Jackson,CB,SMU,,2022-04-21T17:25:00.000Z,0.86,3.0,Immediate,Defense
223,2022,Clay,Millen,QB,Nevada,Colorado State,2021-12-10T17:06:00.000Z,0.85,3.0,Immediate,Offense
224,2022,Josh,Hardeman,S,Marshall,,2022-04-25T18:20:00.000Z,,3.0,Immediate,Defense
225,2022,Myles,Tapusoa,DL,Arizona,,2021-09-30T18:11:00.000Z,0.8,3.0,Immediate,Defense
226,2022,Cameron,Williams,LB,Indiana,,2021-12-11T15:35:00.000Z,,4.0,Immediate,Defense
227,2022,Drake,Cheatum,CB,Prairie View,Kansas State,2022-05-08T20:18:00.000Z,,,Immediate,Defense
228,2022,Demond,Demas,WR,Texas A&M,,2022-03-29T15:29:00.000Z,,5.0,Immediate,Offense
229,2022,Reese,Poffenbarger,QB,Old Dominion,,2022-04-19T15:18:00.000Z,,3.0,Immediate,Offense
230,2022,Charlie,Stone,IOL,Rice,,2022-04-25T18:02:00.000Z,,,Immediate,Offense
231,2022,Eddie,Watkins,LB,West Virginia,,2021-10-08T00:54:00.000Z,,3.0,Immediate,Defense
232,2022,Jahaziel,Lee,OT,Utah State,,2021-08-02T20:16:00.000Z,0.79,2.0,SittingOne,Offense
233,2022,Dink,Jackson,S,Ole Miss,,2021-09-30T17:23:00.000Z,0.81,3.0,Immediate,Defense
234,2022,Jackie,Matthews,CB,West Virginia,Mississippi State,2022-01-05T20:53:00.000Z,0.9,4.0,Immediate,Defense
235,2022,Latavious,Brini,S,Georgia,Arkansas,2022-01-17T17:05:00.000Z,0.9,4.0,Immediate,Defense
236,2022,Jackson,Ray,P,Colorado State,,2021-09-21T16:50:00.000Z,,2.0,Immediate,P
237,2022,Cody,Jackson,WR,Oklahoma,Houston,2022-04-25T17:25:00.000Z,0.9,4.0,Immediate,Offense
